row_id,arm,supervision,scene,n_px_scored,n_anom,roc_auc,pr_auc,precision,recall,f1,status,note
classical_ae,classical_ae,unsupervised,ang20171012t194435_23,474,74,0.7147297297297283,0.2129854192414188,0.015102040816326531,1.0,0.029754724567752314,ok,
classical_ae,classical_ae,unsupervised,ang20171012t194435_24,411,11,0.9181818181818187,0.019859227311377268,0.0026855468749999996,1.0,0.005356708059410761,ok,
classical_ae,classical_ae,unsupervised,ang20171012t194435_25,452,52,0.8604326923076931,0.4381074198167009,0.0126953125,1.0,0.02507232401157184,ok,
classical_ae,classical_ae,unsupervised,ang20171012t194435_26,414,14,0.8083928571428567,0.4666194516072319,0.00341796875,1.0,0.006812652068126521,ok,
classical_ae,classical_ae,unsupervised,ang20171012t194435_27,427,27,0.7576851851851868,0.39803057529770275,0.006591796875,1.0,0.01309725927722532,ok,
classical_ae,classical_ae,unsupervised,ang20171012t194435_28,443,43,0.5277325581395367,0.24242862108655863,0.010498046875000002,1.0,0.020777965692196185,ok,
classical_ae,classical_ae,unsupervised,ang20171012t194435_29,458,58,0.6771120689655157,0.47750818962270386,0.01416015625,1.0,0.027924891670678863,ok,
classical_ae,classical_ae,unsupervised,ang20171012t194435_30,424,24,0.42604166666666526,0.08949387277994299,0.005859374999999999,1.0,0.011650485436893203,ok,
classical_ae,classical_ae,unsupervised,ang20171012t194435_31,434,34,0.4369852941176484,0.04667239481990558,0.00830078125,1.0,0.01646489104116223,ok,
classical_ae,classical_ae,unsupervised,ang20171012t194435_32,456,56,0.721741071428571,0.5174904857023248,0.013671875000000003,1.0,0.026974951830443166,ok,
classical_ae,classical_ae,unsupervised,ang20171012t194435_33,469,69,0.7043478260869571,0.3741196217698886,0.016845703125,1.0,0.033133253301320525,ok,
classical_ae,classical_ae,unsupervised,ang20171012t194435_35,429,29,0.3213793103448276,0.10818387570833185,0.007080078124999998,1.0,0.014060606060606056,ok,
classical_ae,classical_ae,unsupervised,ang20191004t185054_22,446,46,0.002608695652173925,0.004840332255506201,0.009387755102040816,1.0,0.018600889607763852,ok,
classical_ae,classical_ae,unsupervised,ang20191004t185054_23,412,12,0.11104166666666673,0.0017390784835939752,0.0029296874999999987,1.0,0.005842259006815966,ok,
classical_ae,classical_ae,unsupervised,ang20191004t185054_24,453,53,0.7932547169811325,0.5916022081131508,0.012939453125,1.0,0.02554832489756568,ok,
classical_ae,classical_ae,unsupervised,ang20191004t185054_25,440,40,0.8918124999999997,0.04416626628683757,0.009765625,1.0,0.019342359767891684,ok,
classical_ae,classical_ae,unsupervised,ang20191004t185054_26,439,39,0.5876923076923066,0.0874832406966897,0.009521484375,1.0,0.018863361547763,ok,
