row_id,n_scenes,n_failed,roc_auc_MACRO,roc_auc_micro,pr_auc_MACRO,pr_auc_micro,precision_MACRO,precision_micro,recall_MACRO,recall_micro,f1_MACRO,f1_micro,arm,supervision,swept,params,fit_wall_clock_s,sweep_wall_clock_s,wall_clock_kind,circuit_depth,n_qubits,val_threshold,val_threshold_fp_rate,arm_status,arm_note
classical_ae,28,0,0.581901923685531,0.6579661016949153,0.20544991020912767,0.3452715019345923,0.00965528689457151,0.01731500311176121,1.0,1.0,0.01900744026192817,0.03366548071841462,classical_ae,unsupervised,True,"{""n_latent"": 6, ""n_epochs"": 300}",1.0322021999891149,8.23593969999638,classical_cpu,,,0.006003745468717095,0.9972222222222222,ok,
classical_ocsvm,28,0,0.6293244335787128,0.6802098466505246,0.14156041224817337,0.22836409378021136,0.009673130869931495,0.017338226677911822,1.0,1.0,0.01904214077541137,0.033710476156166215,classical_ocsvm,unsupervised,True,"{""gamma"": 10.0, ""nu"": 0.05}",0.006948900001589209,0.23948370000289287,classical_cpu,,,0.06889692845400452,0.9194444444444444,ok,
classical_svc,28,0,0.8129716809578349,0.7857586763518969,0.4078358245826381,0.3879792632116358,0.02350987450375288,0.03211070921659088,0.9690843153281595,0.9483454398708636,0.044243116347106606,0.0600851551024672,classical_svc,supervised,True,"{""gamma"": 0.1, ""C"": 10.0}",0.015408299994305708,0.5692609999969136,classical_cpu,,,-1.1783221795158267,0.49722222222222223,ok,
rx_8feat,28,0,0.7315638864430157,0.7797921711057304,0.5131581698373232,0.5913738506315641,0.00965543581321651,0.017315060323444036,1.0,1.0,0.01900773710776481,0.033665594760882926,rx_8feat,unsupervised,True,"{""reg"": 1e-06}",0.0005546000029426068,0.04239869999582879,classical_cpu,,,2.818103114198606,0.9833333333333333,ok,
vqc,28,0,0.4729085093290254,0.46229418886198576,0.07036352601580112,0.08006337151001189,0.009554620083100021,0.016919268902453793,0.95949234967725,0.9531880548829701,0.01880399170041134,0.03287246550125973,vqc,supervised,False,"{""ansatz_reps"": 3, ""maxiter"": 200}",929.1229406000057,932.2317791999958,aer_statevector_sampler_cpu,41.0,8.0,0.2919921875,0.8861111111111111,ok,
qae,28,0,0.49472303380592153,0.5357828894269576,0.02512379293995539,0.04643246145376811,0.009595791247992438,0.017248306837462847,0.9947865330385243,0.9943502824858758,0.018889842802158635,0.03353369495304244,qae,unsupervised,False,"{""ansatz_reps"": 3, ""maxiter"": 150}",312.36611030000495,317.3082768999884,exact_statevector_cpu,79.0,13.0,0.5447005916995227,0.9333333333333333,ok,
quantum_kernel_spec,28,0,0.4016741270556591,0.3763478611783704,0.020610510928140615,0.028023320070898958,0.009662997609815885,0.017227945942334604,0.9995731360273192,0.9975786924939467,0.0190236673449252,0.03349928939808511,quantum_kernel,unsupervised,False,"{""kind"": ""zz"", ""reps"": 2, ""angle_scale"": 1.0}",0.4500129999942146,2.139685799993458,exact_statevector_cpu,33.0,8.0,0.21827349337357665,0.8194444444444444,ok,
quantum_kernel_valscale,28,0,0.6815027433876555,0.6483333333333341,0.1454822972990291,0.12901108127169705,0.00965528689457151,0.01731500311176121,1.0,1.0,0.01900744026192817,0.03366548071841462,quantum_kernel,unsupervised,True,"{""kind"": ""zz"", ""reps"": 2, ""angle_scale"": 0.5}",0.4323729000025196,12.368647499999497,exact_statevector_cpu,33.0,8.0,-0.1908430464789992,0.9972222222222222,ok,
